,time,handle_x,text_x,handle_y,text_y
245,2016-07-08,russian,8,realDonaldTrump,6
246,2016-07-09,russian,37,HillaryClinton,6
247,2016-07-09,russian,37,realDonaldTrump,2
248,2016-07-10,russian,21,HillaryClinton,6
249,2016-07-10,russian,21,realDonaldTrump,4
250,2016-07-11,russian,129,HillaryClinton,12
251,2016-07-11,russian,129,realDonaldTrump,4
252,2016-07-12,russian,40,HillaryClinton,38
253,2016-07-12,russian,40,realDonaldTrump,14
254,2016-07-13,russian,44,HillaryClinton,31
255,2016-07-13,russian,44,realDonaldTrump,15
256,2016-07-14,russian,40,HillaryClinton,27
257,2016-07-14,russian,40,realDonaldTrump,6
258,2016-07-15,russian,47,HillaryClinton,16
259,2016-07-15,russian,47,realDonaldTrump,4
260,2016-07-16,russian,36,HillaryClinton,15
261,2016-07-16,russian,36,realDonaldTrump,7
262,2016-07-17,russian,69,HillaryClinton,5
263,2016-07-17,russian,69,realDonaldTrump,17
264,2016-07-18,russian,167,HillaryClinton,31
265,2016-07-18,russian,167,realDonaldTrump,6
266,2016-07-19,russian,390,HillaryClinton,30
267,2016-07-19,russian,390,realDonaldTrump,7
268,2016-07-20,russian,295,HillaryClinton,30
269,2016-07-20,russian,295,realDonaldTrump,8
270,2016-07-21,russian,1327,HillaryClinton,37
271,2016-07-21,russian,1327,realDonaldTrump,17
272,2016-07-22,russian,328,HillaryClinton,55
273,2016-07-22,russian,328,realDonaldTrump,7
274,2016-07-23,russian,333,HillaryClinton,58
275,2016-07-23,russian,333,realDonaldTrump,16
276,2016-07-24,russian,155,HillaryClinton,12
277,2016-07-24,russian,155,realDonaldTrump,18
278,2016-07-25,russian,219,HillaryClinton,27
279,2016-07-25,russian,219,realDonaldTrump,18
280,2016-07-26,russian,295,HillaryClinton,79
281,2016-07-26,russian,295,realDonaldTrump,15
282,2016-07-27,russian,464,HillaryClinton,69
283,2016-07-27,russian,464,realDonaldTrump,19
284,2016-07-28,russian,256,HillaryClinton,111
285,2016-07-28,russian,256,realDonaldTrump,17
286,2016-07-29,russian,1238,HillaryClinton,100
287,2016-07-29,russian,1238,realDonaldTrump,28
288,2016-07-30,russian,519,HillaryClinton,19
289,2016-07-30,russian,519,realDonaldTrump,26
290,2016-07-31,russian,453,HillaryClinton,11
291,2016-07-31,russian,453,realDonaldTrump,5
292,2016-08-01,russian,187,HillaryClinton,13
293,2016-08-01,russian,187,realDonaldTrump,22
294,2016-08-02,russian,330,HillaryClinton,16
295,2016-08-02,russian,330,realDonaldTrump,14
296,2016-08-03,russian,637,HillaryClinton,16
297,2016-08-03,russian,637,realDonaldTrump,7
298,2016-08-04,russian,809,HillaryClinton,16
299,2016-08-04,russian,809,realDonaldTrump,5
300,2016-08-05,russian,166,HillaryClinton,24
301,2016-08-05,russian,166,realDonaldTrump,11
302,2016-08-06,russian,219,HillaryClinton,12
303,2016-08-06,russian,219,realDonaldTrump,8
304,2016-08-07,russian,237,HillaryClinton,14
305,2016-08-07,russian,237,realDonaldTrump,7
306,2016-08-08,russian,507,HillaryClinton,25
307,2016-08-08,russian,507,realDonaldTrump,13
308,2016-08-09,russian,142,HillaryClinton,8
309,2016-08-09,russian,142,realDonaldTrump,11
310,2016-08-10,russian,550,HillaryClinton,19
311,2016-08-10,russian,550,realDonaldTrump,15
312,2016-08-11,russian,251,HillaryClinton,41
313,2016-08-11,russian,251,realDonaldTrump,4
314,2016-08-12,russian,582,HillaryClinton,15
315,2016-08-12,russian,582,realDonaldTrump,10
316,2016-08-13,russian,116,HillaryClinton,6
317,2016-08-13,russian,116,realDonaldTrump,8
318,2016-08-14,russian,113,HillaryClinton,3
319,2016-08-14,russian,113,realDonaldTrump,8
320,2016-08-15,russian,603,HillaryClinton,44
321,2016-08-15,russian,603,realDonaldTrump,5
322,2016-08-16,russian,444,HillaryClinton,14
323,2016-08-16,russian,444,realDonaldTrump,4
324,2016-08-17,russian,534,HillaryClinton,15
325,2016-08-17,russian,534,realDonaldTrump,10
326,2016-08-18,russian,357,HillaryClinton,16
327,2016-08-18,russian,357,realDonaldTrump,3
328,2016-08-19,russian,416,HillaryClinton,16
329,2016-08-19,russian,416,realDonaldTrump,8
330,2016-08-20,russian,191,HillaryClinton,9
331,2016-08-20,russian,191,realDonaldTrump,9
332,2016-08-21,russian,102,HillaryClinton,9
333,2016-08-21,russian,102,realDonaldTrump,4
334,2016-08-22,russian,178,HillaryClinton,11
335,2016-08-22,russian,178,realDonaldTrump,13
336,2016-08-23,russian,622,HillaryClinton,16
337,2016-08-23,russian,622,realDonaldTrump,8
338,2016-08-24,russian,1159,HillaryClinton,12
339,2016-08-24,russian,1159,realDonaldTrump,8
340,2016-08-25,russian,140,HillaryClinton,46
341,2016-08-25,russian,140,realDonaldTrump,10
342,2016-08-26,russian,208,HillaryClinton,16
343,2016-08-26,russian,208,realDonaldTrump,19
344,2016-08-27,russian,260,HillaryClinton,6
345,2016-08-27,russian,260,realDonaldTrump,8
346,2016-08-28,russian,206,HillaryClinton,8
347,2016-08-28,russian,206,realDonaldTrump,9
348,2016-08-29,russian,311,HillaryClinton,12
349,2016-08-29,russian,311,realDonaldTrump,11
350,2016-08-30,russian,157,HillaryClinton,13
351,2016-08-30,russian,157,realDonaldTrump,6
352,2016-08-31,russian,934,HillaryClinton,28
353,2016-08-31,russian,934,realDonaldTrump,5
354,2016-09-01,russian,337,HillaryClinton,23
355,2016-09-01,russian,337,realDonaldTrump,15
356,2016-09-02,russian,192,HillaryClinton,12
357,2016-09-02,russian,192,realDonaldTrump,5
358,2016-09-03,russian,184,HillaryClinton,8
359,2016-09-03,russian,184,realDonaldTrump,5
360,2016-09-04,russian,282,HillaryClinton,5
361,2016-09-04,russian,282,realDonaldTrump,9
362,2016-09-05,russian,909,HillaryClinton,11
363,2016-09-05,russian,909,realDonaldTrump,11
364,2016-09-06,russian,170,HillaryClinton,19
365,2016-09-06,russian,170,realDonaldTrump,10
366,2016-09-07,russian,319,HillaryClinton,25
367,2016-09-07,russian,319,realDonaldTrump,7
368,2016-09-08,russian,667,HillaryClinton,57
369,2016-09-08,russian,667,realDonaldTrump,13
370,2016-09-09,russian,554,HillaryClinton,15
371,2016-09-09,russian,554,realDonaldTrump,10
372,2016-09-10,russian,392,HillaryClinton,10
373,2016-09-10,russian,392,realDonaldTrump,12
374,2016-09-11,russian,385,HillaryClinton,6
375,2016-09-11,russian,385,realDonaldTrump,2
376,2016-09-12,russian,1598,HillaryClinton,15
377,2016-09-12,russian,1598,realDonaldTrump,3
378,2016-09-13,russian,1049,HillaryClinton,41
379,2016-09-13,russian,1049,realDonaldTrump,9
380,2016-09-14,russian,1022,HillaryClinton,41
381,2016-09-14,russian,1022,realDonaldTrump,12
382,2016-09-15,russian,268,HillaryClinton,34
383,2016-09-15,russian,268,realDonaldTrump,15
384,2016-09-16,russian,1992,HillaryClinton,66
385,2016-09-16,russian,1992,realDonaldTrump,6
386,2016-09-17,russian,3063,HillaryClinton,14
387,2016-09-17,russian,3063,realDonaldTrump,14
388,2016-09-18,russian,2367,HillaryClinton,18
389,2016-09-18,russian,2367,realDonaldTrump,3
390,2016-09-19,russian,2587,HillaryClinton,40
391,2016-09-19,russian,2587,realDonaldTrump,9
392,2016-09-20,russian,185,HillaryClinton,15
393,2016-09-20,russian,185,realDonaldTrump,10
394,2016-09-21,russian,453,HillaryClinton,29
395,2016-09-21,russian,453,realDonaldTrump,7
396,2016-09-22,russian,386,HillaryClinton,16
397,2016-09-22,russian,386,realDonaldTrump,5
398,2016-09-23,russian,1252,HillaryClinton,17
399,2016-09-23,russian,1252,realDonaldTrump,7
400,2016-09-24,russian,207,HillaryClinton,12
401,2016-09-24,russian,207,realDonaldTrump,7
402,2016-09-25,russian,139,HillaryClinton,14
403,2016-09-25,russian,139,realDonaldTrump,4
404,2016-09-26,russian,716,HillaryClinton,21
405,2016-09-26,russian,716,realDonaldTrump,6
406,2016-09-27,russian,891,HillaryClinton,98
407,2016-09-27,russian,891,realDonaldTrump,51
408,2016-09-28,russian,1096,HillaryClinton,1
