,word_count,words_updated,words_filtered
305,1,tco3B2EmK8eDc,tco3B2EmK8eDc
306,1,tco3B2EmKpQ1M,tco3B2EmKpQ1M
307,1,tco3BIF6jBTkk,tco3BIF6jBTkk
308,1,tco3C2RFFuIAr,tco3C2RFFuIAr
309,1,tco3C5WLPv33W,tco3C5WLPv33W
310,1,tco3CEBq2jsDh,tco3CEBq2jsDh
311,1,tco3DgpQSy3qb,tco3DgpQSy3qb
312,1,tco3DyAZfFyoi,tco3DyAZfFyoi
313,1,tco3EfPjKc5NH,tco3EfPjKc5NH
314,1,tco3EzG620fpT,tco3EzG620fpT
315,1,tco3FMgxGxgte,tco3FMgxGxgte
316,1,tco3Ffpf7W4Vz,tco3Ffpf7W4Vz
317,1,tco3FkMZpaEdR,tco3FkMZpaEdR
318,1,tco3GGoVXSZSf,tco3GGoVXSZSf
319,2,tco3Hcnzj0Slx,tco3Hcnzj0Slx
320,1,tco3HeTtkQ6KS,tco3HeTtkQ6KS
321,1,tco3HmclWL9GT,tco3HmclWL9GT
322,1,tco3ICu66ozzV,tco3ICu66ozzV
323,1,tco3JbmFsM6RH,tco3JbmFsM6RH
324,1,tco3JbmzuxEK5,tco3JbmzuxEK5
325,3,tco3KWOl20zMm,tco3KWOl20zMm
326,10,tco3KWOl2ibaW,tco3KWOl2ibaW
327,1,tco3LV3pmjRBI,tco3LV3pmjRBI
328,1,tco3LmdDx8iqn,tco3LmdDx8iqn
329,1,tco3MGECPKU2e,tco3MGECPKU2e
330,1,tco3OX4I1GSkr,tco3OX4I1GSkr
331,1,tco3QE4nRXzLZ,tco3QE4nRXzLZ
332,1,tco3SD0GknJS2,tco3SD0GknJS2
333,1,tco3XpJvBZuk5,tco3XpJvBZuk5
334,1,tco3YdytDZDek,tco3YdytDZDek
335,1,tco3ZIezeRTl9,tco3ZIezeRTl9
336,1,tco3diVyaiw2Q,tco3diVyaiw2Q
337,1,tco3herO6i1Pr,tco3herO6i1Pr
338,1,tco3jfdvB9aM1,tco3jfdvB9aM1
339,1,tco3ji7a14GSw,tco3ji7a14GSw
340,1,tco3kYQGqeVyD,tco3kYQGqeVyD
341,1,tco3lJjQEQ0BR,tco3lJjQEQ0BR
342,1,tco3mQgqZ7b8V,tco3mQgqZ7b8V
343,1,tco3mxc8y0VMx,tco3mxc8y0VMx
344,1,tco3nZ5SkCbYP,tco3nZ5SkCbYP
345,1,tco3o9wyU1Ref,tco3o9wyU1Ref
346,1,tco3pDL83jqdR,tco3pDL83jqdR
347,1,tco3sXNDP3HNE,tco3sXNDP3HNE
348,1,tco3t2bb1d1mT,tco3t2bb1d1mT
349,1,tco3xdEXZV5Ge,tco3xdEXZV5Ge
350,1,tco3yFUZALNVn,tco3yFUZALNVn
351,1,tco3z8Wvf8Xdg,tco3z8Wvf8Xdg
352,1,tco41ebkLl4pb,tco41ebkLl4pb
353,1,tco42OpVsjXjp,tco42OpVsjXjp
354,1,tco4389xR7kCu,tco4389xR7kCu
355,1,tco43UGZQfsUA,tco43UGZQfsUA
356,1,tco44RNvOMham,tco44RNvOMham
357,1,tco45JD0aLXC6,tco45JD0aLXC6
